time	V(va)
3.013631342240157e-002	1.189645e+000
3.034557681525871e-002	1.205912e+000
3.055484020811585e-002	1.218925e+000
3.076410360097299e-002	1.228684e+000
3.083734578847299e-002	1.231255e+000
3.091058797597299e-002	1.233408e+000
3.098383016347299e-002	1.235142e+000
3.105707235097299e-002	1.236457e+000
3.113031453847299e-002	1.237354e+000
3.120355672597299e-002	1.237833e+000
3.127679891347299e-002	1.237892e+000
3.136050427061585e-002	1.237444e+000
3.144420962775871e-002	1.236450e+000
3.152791498490157e-002	1.234909e+000
3.161162034204443e-002	1.232824e+000
3.169532569918729e-002	1.230192e+000
3.177903105633015e-002	1.227014e+000
3.186273641347301e-002	1.223291e+000
3.209292614561587e-002	1.210079e+000
3.232311587775874e-002	1.193000e+000
3.255330560990161e-002	1.172052e+000
3.278349534204447e-002	1.147237e+000
3.301368507418734e-002	1.118554e+000
3.324387480633020e-002	1.086004e+000
3.347406453847307e-002	1.049585e+000
3.380888596704451e-002	9.893686e-001
3.414370739561595e-002	9.234366e-001
3.447852882418739e-002	8.517890e-001
3.481335025275884e-002	7.744257e-001
3.514817168133028e-002	6.913469e-001
3.548299310990172e-002	6.025525e-001
3.581781453847316e-002	5.080426e-001
3.601661476168745e-002	4.506584e-001
3.621541498490175e-002	3.925178e-001
3.641421520811604e-002	3.336208e-001
3.661301543133033e-002	2.739674e-001
3.681181565454463e-002	2.135576e-001
3.701061587775892e-002	1.523914e-001
3.720941610097321e-002	9.046874e-002
3.750238485097322e-002	-5.995389e-004
3.757562703847323e-002	-2.340466e-002
3.764886922597323e-002	-4.618259e-002
3.772211141347323e-002	-6.893331e-002
3.779535360097323e-002	-9.165684e-002
3.786859578847324e-002	-1.143532e-001
3.794183797597324e-002	-1.370223e-001
3.801508016347324e-002	-1.596642e-001
3.823480672597325e-002	-2.276741e-001
3.845453328847326e-002	-2.944912e-001
3.867425985097327e-002	-3.601157e-001
3.889398641347328e-002	-4.245476e-001
3.911371297597328e-002	-4.877867e-001
3.933343953847329e-002	-5.498331e-001
3.955316610097330e-002	-6.106869e-001
3.989845069918760e-002	-7.031436e-001
4.024373529740190e-002	-7.888462e-001
4.058901989561620e-002	-8.677949e-001
4.093430449383050e-002	-9.399896e-001
4.127958909204479e-002	-1.005430e+000
4.162487369025909e-002	-1.064117e+000
4.197015828847339e-002	-1.116050e+000
4.216895851168769e-002	-1.141518e+000
4.236775873490198e-002	-1.164019e+000
4.256655895811627e-002	-1.183552e+000
4.276535918133056e-002	-1.200117e+000
4.296415940454486e-002	-1.213715e+000
4.316295962775915e-002	-1.224345e+000
4.336175985097344e-002	-1.232008e+000
4.342453886883059e-002	-1.233760e+000
4.348731788668774e-002	-1.235204e+000
4.355009690454488e-002	-1.236341e+000
4.361287592240203e-002	-1.237170e+000
4.367565494025917e-002	-1.237691e+000
4.373843395811632e-002	-1.237904e+000
4.380121297597346e-002	-1.237809e+000
4.390584467240204e-002	-1.236961e+000
4.401047636883061e-002	-1.235261e+000
4.411510806525919e-002	-1.232712e+000
4.421973976168776e-002	-1.229311e+000
4.432437145811634e-002	-1.225060e+000
4.442900315454491e-002	-1.219958e+000
4.453363485097349e-002	-1.214006e+000
4.478475092240207e-002	-1.196025e+000
4.503586699383065e-002	-1.173559e+000
4.528698306525923e-002	-1.146606e+000
4.553809913668781e-002	-1.115168e+000
4.578921520811639e-002	-1.079244e+000
4.604033127954497e-002	-1.038834e+000
4.629144735097356e-002	-9.939375e-001
4.660534244025928e-002	-9.315280e-001
4.691923752954501e-002	-8.644529e-001
4.723313261883073e-002	-7.927122e-001
4.754702770811646e-002	-7.163058e-001
4.786092279740219e-002	-6.352339e-001
4.817481788668791e-002	-5.494963e-001
4.848871297597364e-002	-4.590930e-001
4.866658685990222e-002	-4.069896e-001
4.884446074383080e-002	-3.543392e-001
4.902233462775937e-002	-3.011418e-001
4.920020851168795e-002	-2.473973e-001
4.937808239561653e-002	-1.931059e-001
4.955595627954511e-002	-1.382675e-001
4.973383016347369e-002	-8.288205e-002
4.981753552061655e-002	-5.685269e-002
4.990124087775941e-002	-3.082696e-002
4.998494623490227e-002	-4.804864e-003
5.006865159204513e-002	2.121361e-002
5.015235694918799e-002	4.722846e-002
5.023606230633085e-002	7.323968e-002
5.031976766347371e-002	9.924727e-002
5.050810471704514e-002	1.578409e-001
5.069644177061658e-002	2.157610e-001
5.088477882418802e-002	2.730076e-001
5.107311587775945e-002	3.295808e-001
5.126145293133089e-002	3.854805e-001
5.144978998490232e-002	4.407067e-001
5.163812703847376e-002	4.952594e-001
5.196248529740234e-002	5.873163e-001
5.228684355633093e-002	6.741337e-001
5.261120181525951e-002	7.557117e-001
5.293556007418809e-002	8.320502e-001
5.325991833311668e-002	9.031492e-001
5.358427659204526e-002	9.690088e-001
5.390863485097384e-002	1.029629e+000
5.414928775275957e-002	1.069556e+000
5.438994065454529e-002	1.105290e+000
5.463059355633101e-002	1.136831e+000
5.487124645811674e-002	1.164180e+000
5.511189935990246e-002	1.187336e+000
5.535255226168818e-002	1.206299e+000
5.559320516347391e-002	1.221070e+000
5.568737369025963e-002	1.225548e+000
5.578154221704534e-002	1.229337e+000
5.587571074383106e-002	1.232434e+000
5.596987927061678e-002	1.234842e+000
5.606404779740250e-002	1.236558e+000
5.615821632418822e-002	1.237584e+000
5.625238485097393e-002	1.237919e+000
5.631516386883108e-002	1.237755e+000
5.637794288668822e-002	1.237283e+000
5.644072190454537e-002	1.236504e+000
5.650350092240251e-002	1.235417e+000
5.656627994025966e-002	1.234022e+000
5.662905895811680e-002	1.232320e+000
5.669183797597395e-002	1.230310e+000
5.690110136883110e-002	1.221284e+000
5.711036476168825e-002	1.208992e+000
5.731962815454540e-002	1.193435e+000
5.752889154740255e-002	1.174612e+000
5.773815494025970e-002	1.152523e+000
5.794741833311685e-002	1.127169e+000
5.815668172597401e-002	1.098548e+000
5.850196632418830e-002	1.043596e+000
5.884725092240260e-002	9.820922e-001
5.919253552061690e-002	9.140376e-001
5.953782011883120e-002	8.394320e-001
5.988310471704550e-002	7.582754e-001
6.022838931525980e-002	6.705677e-001
6.057367391347410e-002	5.763091e-001
6.078293730633125e-002	5.174922e-001
6.099220069918840e-002	4.576661e-001
6.120146409204555e-002	3.968307e-001
6.141072748490270e-002	3.349861e-001
6.161999087775985e-002	2.721323e-001
6.182925427061700e-002	2.082693e-001
6.203851766347415e-002	1.433971e-001
6.247797078847417e-002	6.996173e-003
6.254074980633131e-002	-1.254764e-002
6.260352882418846e-002	-3.207619e-002
6.266630784204560e-002	-5.158948e-002
6.272908685990275e-002	-7.108750e-002
6.279186587775990e-002	-9.057025e-002
6.285464489561704e-002	-1.100377e-001
6.291742391347419e-002	-1.294899e-001
6.312668730633134e-002	-1.944638e-001
6.333595069918849e-002	-2.584653e-001
6.354521409204564e-002	-3.214944e-001
6.375447748490279e-002	-3.835513e-001
6.396374087775994e-002	-4.446358e-001
6.417300427061709e-002	-5.047481e-001
6.438226766347424e-002	-5.638880e-001
6.472755226168854e-002	-6.587667e-001
6.507283685990284e-002	-7.471685e-001
