time	V(a1)	V(vout)	V(vouts2)
4.759638528724729e+001	1.157289e-002	-3.060886e+000	1.036951e+000
4.799830975777100e+001	1.158411e-002	-3.051217e+000	1.077728e+000
4.840023422829471e+001	1.159518e-002	-3.041438e+000	1.118430e+000
4.880215869881842e+001	1.160611e-002	-3.031550e+000	1.159058e+000
4.920408316934212e+001	1.161689e-002	-3.021551e+000	1.199611e+000
4.960990997220548e+001	1.162762e-002	-3.011344e+000	1.240472e+000
5.001573677506883e+001	1.163820e-002	-3.001026e+000	1.281236e+000
5.042156357793219e+001	1.164862e-002	-2.990598e+000	1.321903e+000
5.082739038079554e+001	1.165888e-002	-2.980058e+000	1.362474e+000
5.123321718365890e+001	1.166900e-002	-2.969408e+000	1.402947e+000
5.163904398652226e+001	1.167895e-002	-2.958647e+000	1.443324e+000
5.204487078938561e+001	1.168875e-002	-2.947775e+000	1.483604e+000
5.246596844278608e+001	1.169875e-002	-2.936378e+000	1.525287e+000
5.288706609618654e+001	1.170858e-002	-2.924863e+000	1.566843e+000
5.330816374958701e+001	1.171824e-002	-2.913232e+000	1.608274e+000
5.372926140298748e+001	1.172772e-002	-2.901483e+000	1.649577e+000
5.415035905638794e+001	1.173704e-002	-2.889618e+000	1.690755e+000
5.457145670978841e+001	1.174617e-002	-2.877636e+000	1.731806e+000
5.499255436318887e+001	1.175514e-002	-2.865537e+000	1.772731e+000
5.538658452527653e+001	1.176337e-002	-2.854110e+000	1.810899e+000
5.578061468736419e+001	1.177145e-002	-2.842583e+000	1.848938e+000
5.617464484945185e+001	1.177937e-002	-2.830956e+000	1.886847e+000
5.656867501153952e+001	1.178714e-002	-2.819230e+000	1.924626e+000
5.696270517362718e+001	1.179475e-002	-2.807403e+000	1.962276e+000
5.735673533571484e+001	1.180220e-002	-2.795476e+000	1.999796e+000
5.775076549780250e+001	1.180950e-002	-2.783449e+000	2.037187e+000
5.817195652689353e+001	1.181713e-002	-2.770485e+000	2.077004e+000
5.859314755598457e+001	1.182458e-002	-2.757410e+000	2.116652e+000
5.901433858507561e+001	1.183185e-002	-2.744223e+000	2.156130e+000
5.943552961416664e+001	1.183894e-002	-2.730926e+000	2.195440e+000
5.985672064325767e+001	1.184584e-002	-2.717518e+000	2.234580e+000
6.027791167234872e+001	1.185256e-002	-2.703999e+000	2.273552e+000
6.069910270143975e+001	1.185910e-002	-2.690369e+000	2.312354e+000
6.112090772033299e+001	1.186547e-002	-2.676610e+000	2.351032e+000
6.154271273922623e+001	1.187165e-002	-2.662744e+000	2.389520e+000
6.196451775811948e+001	1.187765e-002	-2.648771e+000	2.427818e+000
6.238632277701272e+001	1.188346e-002	-2.634692e+000	2.465925e+000
6.280812779590596e+001	1.188909e-002	-2.620505e+000	2.503842e+000
6.322993281479921e+001	1.189453e-002	-2.606211e+000	2.541568e+000
6.365173783369244e+001	1.189978e-002	-2.591810e+000	2.579104e+000
6.405236490293973e+001	1.190460e-002	-2.578036e+000	2.614568e+000
6.445299197218702e+001	1.190925e-002	-2.564168e+000	2.649842e+000
6.485361904143430e+001	1.191373e-002	-2.550209e+000	2.684926e+000
6.525424611068159e+001	1.191804e-002	-2.536156e+000	2.719820e+000
6.565487317992888e+001	1.192218e-002	-2.522012e+000	2.754523e+000
6.605550024917616e+001	1.192615e-002	-2.507774e+000	2.789037e+000
6.645612731842346e+001	1.192995e-002	-2.493445e+000	2.823360e+000
6.687066043555481e+001	1.193370e-002	-2.478524e+000	2.858669e+000
6.728519355268615e+001	1.193727e-002	-2.463508e+000	2.893757e+000
6.769972666981751e+001	1.194065e-002	-2.448399e+000	2.928622e+000
6.811425978694886e+001	1.194385e-002	-2.433195e+000	2.963265e+000
6.852879290408022e+001	1.194687e-002	-2.417898e+000	2.997687e+000
6.894332602121156e+001	1.194970e-002	-2.402506e+000	3.031886e+000
6.935785913834292e+001	1.195235e-002	-2.387020e+000	3.065864e+000
6.976856950491400e+001	1.195479e-002	-2.371586e+000	3.099300e+000
7.017927987148507e+001	1.195705e-002	-2.356066e+000	3.132502e+000
7.058999023805615e+001	1.195913e-002	-2.340459e+000	3.165469e+000
7.100070060462723e+001	1.196103e-002	-2.324765e+000	3.198201e+000
7.141141097119831e+001	1.196275e-002	-2.308983e+000	3.230699e+000
7.182212133776937e+001	1.196428e-002	-2.293115e+000	3.262961e+000
7.223283170434046e+001	1.196563e-002	-2.277160e+000	3.294989e+000
7.264097348258318e+001	1.196680e-002	-2.261221e+000	3.326575e+000
7.304911526082591e+001	1.196778e-002	-2.245202e+000	3.357912e+000
7.345725703906864e+001	1.196859e-002	-2.229102e+000	3.389001e+000
7.386539881731136e+001	1.196921e-002	-2.212922e+000	3.419841e+000
7.427354059555410e+001	1.196965e-002	-2.196661e+000	3.450432e+000
7.468168237379682e+001	1.196992e-002	-2.180320e+000	3.480774e+000
7.508982415203954e+001	1.197000e-002	-2.163899e+000	3.510868e+000
7.551129462706039e+001	1.196990e-002	-2.146861e+000	3.541680e+000
7.593276510208125e+001	1.196960e-002	-2.129744e+000	3.572211e+000
7.635423557710210e+001	1.196912e-002	-2.112547e+000	3.602460e+000
7.677570605212296e+001	1.196844e-002	-2.095272e+000	3.632427e+000
7.719717652714381e+001	1.196757e-002	-2.077917e+000	3.662113e+000
7.761864700216466e+001	1.196650e-002	-2.060483e+000	3.691517e+000
7.804011747718552e+001	1.196525e-002	-2.042969e+000	3.720639e+000
7.845294479154080e+001	1.196383e-002	-2.025741e+000	3.748883e+000
7.886577210589607e+001	1.196224e-002	-2.008444e+000	3.776842e+000
7.927859942025135e+001	1.196045e-002	-1.991078e+000	3.804516e+000
7.969142673460662e+001	1.195849e-002	-1.973642e+000	3.831906e+000
8.010425404896191e+001	1.195634e-002	-1.956138e+000	3.859011e+000
8.051708136331718e+001	1.195401e-002	-1.938564e+000	3.885831e+000
8.092990867767246e+001	1.195149e-002	-1.920921e+000	3.912367e+000
8.135021015130413e+001	1.194874e-002	-1.902890e+000	3.939082e+000
8.177051162493579e+001	1.194580e-002	-1.884795e+000	3.965488e+000
8.219081309856746e+001	1.194268e-002	-1.866635e+000	3.991584e+000
8.261111457219913e+001	1.193936e-002	-1.848410e+000	4.017370e+000
8.303141604583080e+001	1.193585e-002	-1.830121e+000	4.042846e+000
8.345171751946246e+001	1.193216e-002	-1.811768e+000	4.068013e+000
8.387201899309413e+001	1.192828e-002	-1.793349e+000	4.092869e+000
8.429175326682596e+001	1.192421e-002	-1.774895e+000	4.117378e+000
8.471148754055780e+001	1.191996e-002	-1.756385e+000	4.141564e+000
8.513122181428963e+001	1.191553e-002	-1.737817e+000	4.165429e+000
8.555095608802145e+001	1.191090e-002	-1.719193e+000	4.188971e+000
8.597069036175328e+001	1.190610e-002	-1.700512e+000	4.212191e+000
8.639042463548512e+001	1.190110e-002	-1.681774e+000	4.235088e+000
8.681015890921695e+001	1.189592e-002	-1.662979e+000	4.257664e+000
8.721398559804034e+001	1.189076e-002	-1.644847e+000	4.279072e+000
8.761781228686371e+001	1.188543e-002	-1.626669e+000	4.300171e+000
8.802163897568710e+001	1.187993e-002	-1.608446e+000	4.320961e+000
8.842546566451048e+001	1.187426e-002	-1.590177e+000	4.341442e+000
8.882929235333387e+001	1.186843e-002	-1.571863e+000	4.361613e+000
8.923311904215724e+001	1.186242e-002	-1.553503e+000	4.381474e+000
8.963694573098063e+001	1.185624e-002	-1.535098e+000	4.401027e+000
9.006097051221498e+001	1.184957e-002	-1.515728e+000	4.421221e+000
9.048499529344934e+001	1.184272e-002	-1.496315e+000	4.441064e+000
9.090902007468370e+001	1.183569e-002	-1.476861e+000	4.460555e+000
9.133304485591806e+001	1.182847e-002	-1.457365e+000	4.479694e+000
9.175706963715241e+001	1.182107e-002	-1.437827e+000	4.498481e+000
9.218109441838678e+001	1.181348e-002	-1.418247e+000	4.516916e+000
9.260511919962113e+001	1.180571e-002	-1.398625e+000	4.535000e+000
9.301406114422998e+001	1.179805e-002	-1.379666e+000	4.552098e+000
9.342300308883884e+001	1.179022e-002	-1.360676e+000	4.568861e+000
9.383194503344770e+001	1.178222e-002	-1.341654e+000	4.585288e+000
9.424088697805654e+001	1.177405e-002	-1.322602e+000	4.601380e+000
9.464982892266539e+001	1.176572e-002	-1.303518e+000	4.617136e+000
9.505877086727425e+001	1.175722e-002	-1.284404e+000	4.632557e+000
9.546771281188310e+001	1.174856e-002	-1.265259e+000	4.647643e+000
9.586054358914140e+001	1.174008e-002	-1.246842e+000	4.661810e+000
9.625337436639971e+001	1.173145e-002	-1.228404e+000	4.675659e+000
9.664620514365801e+001	1.172267e-002	-1.209945e+000	4.689192e+000
9.703903592091632e+001	1.171374e-002	-1.191464e+000	4.702407e+000
9.743186669817462e+001	1.170466e-002	-1.172961e+000	4.715306e+000
9.782469747543293e+001	1.169544e-002	-1.154437e+000	4.727887e+000
9.821752825269122e+001	1.168606e-002	-1.135892e+000	4.740151e+000
9.865064815304430e+001	1.167555e-002	-1.115424e+000	4.753303e+000
9.908376805339736e+001	1.166486e-002	-1.094938e+000	4.766063e+000
9.951688795375044e+001	1.165399e-002	-1.074435e+000	4.778429e+000
9.995000785410352e+001	1.164295e-002	-1.053916e+000	4.790403e+000
1.003831277544566e+002	1.163173e-002	-1.033380e+000	4.801984e+000
1.008162476548097e+002	1.162034e-002	-1.012826e+000	4.813172e+000
1.012493675551627e+002	1.160877e-002	-9.922557e-001	4.823968e+000
1.016578847609888e+002	1.159770e-002	-9.728430e-001	4.833783e+000
1.020664019668149e+002	1.158648e-002	-9.534236e-001	4.843244e+000
1.024749191726410e+002	1.157510e-002	-9.339975e-001	4.852351e+000
1.028834363784670e+002	1.156358e-002	-9.145648e-001	4.861104e+000
1.032919535842931e+002	1.155190e-002	-8.951254e-001	4.869503e+000
1.037004707901192e+002	1.154007e-002	-8.756793e-001	4.877548e+000
1.041089879959453e+002	1.152809e-002	-8.562266e-001	4.885240e+000
1.044138464969812e+002	1.151906e-002	-8.417091e-001	4.890741e+000
1.047187049980171e+002	1.150994e-002	-8.271919e-001	4.896044e+000
1.050235634990531e+002	1.150075e-002	-8.126749e-001	4.901149e+000
1.053284220000890e+002	1.149147e-002	-7.981583e-001	4.906055e+000
1.056332805011249e+002	1.148211e-002	-7.836419e-001	4.910763e+000
1.059381390021609e+002	1.147267e-002	-7.691259e-001	4.915272e+000
1.062429975031968e+002	1.146314e-002	-7.546101e-001	4.919582e+000
1.066556311303981e+002	1.145013e-002	-7.349645e-001	4.925091e+000
1.070682647575993e+002	1.143697e-002	-7.153269e-001	4.930232e+000
1.074808983848006e+002	1.142366e-002	-6.956972e-001	4.935007e+000
1.078935320120019e+002	1.141022e-002	-6.760755e-001	4.939414e+000
1.083061656392031e+002	1.139663e-002	-6.564616e-001	4.943455e+000
1.087187992664044e+002	1.138290e-002	-6.368557e-001	4.947129e+000
1.091314328936057e+002	1.136902e-002	-6.172577e-001	4.950436e+000
1.095193382232031e+002	1.135585e-002	-5.988455e-001	4.953206e+000
1.099072435528005e+002	1.134256e-002	-5.804478e-001	4.955648e+000
1.102951488823980e+002	1.132915e-002	-5.620646e-001	4.957761e+000
1.106830542119954e+002	1.131562e-002	-5.436958e-001	4.959547e+000
1.110709595415928e+002	1.130197e-002	-5.253414e-001	4.961005e+000
1.114588648711903e+002	1.128820e-002	-5.070015e-001	4.962135e+000
